,FULL NAME,TEAM,POS,AGE,PPG,APG,MPG,RPG,SPG,BPG,season,Salary
905,Hassan Whiteside,Por,C,31.17,15.5,1.2,30.0,13.5,0.39,2.93,2019-2020,27093017.0
906,Rudy Gay,San,G-F,34.0,10.8,1.7,21.8,5.4,0.52,0.49,2019-2020,14500000.0
907,Ja Morant,Mem,G,21.01,17.8,7.3,31.0,3.9,0.88,0.27,2019-2020,8730240.0
908,Kelly Olynyk,Mia,C,29.32,8.2,1.7,19.4,4.6,0.67,0.34,2019-2020,12667885.0
909,Pat Connaughton,Mil,G,27.61,5.4,1.6,18.6,4.2,0.36,0.48,2019-2020,1723050.0
910,Donte DiVincenzo,Mil,G,23.54,9.2,2.3,23.0,4.8,1.33,0.32,2019-2020,2905800.0
911,Georges Niang,Uta,F,27.16,5.9,0.7,14.0,1.9,0.27,0.08,2019-2020,1645357.0
912,Aaron Holiday,Ind,G,23.87,9.5,3.4,24.5,2.3,0.85,0.24,2019-2020,2329200.0
913,Jayson Tatum,Bos,G-F,22.45,23.4,3.0,34.3,7.0,1.42,0.86,2019-2020,7830000.0
914,Langston Galloway,Det,G,28.68,10.2,1.5,25.8,2.2,0.73,0.15,2019-2020,7333333.0
915,Evan Fournier,Orl,G-F,27.79,18.5,3.2,31.4,2.6,1.08,0.23,2019-2020,17150000.0
916,Damian Lillard,Por,G,30.09,30.0,8.0,37.5,4.3,1.06,0.33,2019-2020,29802321.0
917,Dejounte Murray,San,G,23.9,10.9,4.1,25.6,5.8,1.68,0.26,2019-2020,2321735.0
918,Dario Saric,Pho,F,26.35,10.7,1.9,24.7,6.2,0.56,0.24,2019-2020,3481986.0
919,Patty Mills,San,G,32.01,11.6,1.8,22.5,1.6,0.8,0.09,2019-2020,12428571.0
920,Jakob Poeltl,San,C,24.83,5.6,1.8,17.7,5.7,0.56,1.45,2019-2020,3754886.0
921,Bobby Portis,Nyk,F,25.51,10.1,1.5,21.1,5.1,0.5,0.27,2019-2020,15000000.0
922,Robin Lopez,Mil,C,32.37,5.4,0.7,14.5,2.4,0.15,0.68,2019-2020,4767000.0
923,Isaac Bonga,Was,G,20.77,5.0,1.2,18.9,3.4,0.68,0.33,2019-2020,1416842.0
924,Josh Hart,Nor,G,25.44,10.1,1.7,27.0,6.6,0.97,0.35,2019-2020,1655160.0
925,Cedi Osman,Cle,F,25.35,11.0,2.4,29.4,3.6,0.83,0.25,2019-2020,2907143.0
926,Lou Williams,Lac,G,33.8,18.2,5.6,28.7,3.1,0.66,0.18,2019-2020,8000000.0
927,Coby White,Chi,G,20.49,13.2,2.7,25.8,3.6,0.75,0.09,2019-2020,5307120.0
928,Justin Jackson,Dal,F,25.38,5.5,0.8,16.1,2.4,0.23,0.15,2019-2020,3280920.0
929,Miles Bridges,Cha,F,22.4,13.0,1.8,30.7,5.6,0.62,0.74,2019-2020,3755400.0
930,Matisse Thybulle,Phi,G-F,23.45,4.7,1.2,19.8,1.6,1.43,0.72,2019-2020,2582160.0
931,Kevin Knox II,Nyk,F,21.01,6.4,0.9,17.9,2.8,0.35,0.43,2019-2020,4380120.0
932,Ricky Rubio,Pho,G,29.82,13.0,8.8,31.0,4.7,1.45,0.17,2019-2020,16200000.0
933,Daniel Theis,Bos,F,28.36,9.2,1.7,24.1,6.5,0.57,1.29,2019-2020,5000000.0
934,Tyus Jones,Mem,G,24.26,7.4,4.4,19.0,1.6,0.91,0.09,2019-2020,9258000.0
935,Tomas Satoransky,Chi,G,28.79,9.9,5.4,28.9,3.9,1.23,0.11,2019-2020,10000000.0
936,Collin Sexton,Cle,G,21.61,20.8,3.0,33.0,3.2,1.02,0.11,2019-2020,4764960.0
937,Dennis Schroder,Okc,G,26.92,18.9,4.0,30.8,3.6,0.71,0.22,2019-2020,15500000.0
938,Jaxson Hayes,Nor,C-F,20.23,7.4,0.9,16.9,4.1,0.41,0.88,2019-2020,4862040.0
939,Julius Randle,Nyk,C-F,25.71,19.5,3.1,32.5,9.7,0.8,0.34,2019-2020,18000000.0
940,Seth Curry,Dal,G,29.98,12.4,1.9,24.6,2.3,0.59,0.14,2019-2020,7461380.0
941,Alex Caruso,Lal,G,26.46,5.5,2.0,18.4,1.9,1.09,0.28,2019-2020,2750000.0
942,Taurean Prince,Bro,F,26.4,12.1,1.8,29.0,6.0,0.89,0.39,2019-2020,3481986.0
943,Spencer Dinwiddie,Bro,G,27.36,20.6,6.8,31.2,3.5,0.63,0.33,2019-2020,10605600.0
944,Thaddeus Young,Chi,F,32.15,10.3,1.8,24.9,4.9,1.44,0.36,2019-2020,12900000.0
945,Bryn Forbes,San,G,27.06,11.2,1.7,25.1,2.0,0.52,0.0,2019-2020,2875000.0
946,Trey Lyles,San,F,24.78,6.4,1.1,20.2,5.7,0.44,0.44,2019-2020,5500000.0
947,Devonte' Graham,Cha,G,25.48,18.2,7.5,35.1,3.3,0.98,0.24,2019-2020,1416852.0
948,JaMychal Green,Lac,C-F,30.15,6.8,0.8,20.7,6.2,0.46,0.38,2019-2020,4767000.0
949,Montrezl Harrell,Lac,C-F,26.55,18.6,1.7,27.8,7.1,0.63,1.11,2019-2020,6000000.0
950,Danuel House Jr.,Hou,G-F,27.19,10.5,1.3,30.4,4.2,1.06,0.54,2019-2020,3540000.0
951,De'Andre Hunter,Atl,G-F,22.7,12.3,1.8,32.0,4.5,0.7,0.29,2019-2020,7068360.0
952,Ersan Ilyasova,Mil,F,33.25,6.6,0.8,15.7,4.8,0.37,0.27,2019-2020,7000000.0
953,Terry Rozier,Cha,G,26.41,18.0,4.1,34.4,4.4,0.95,0.16,2019-2020,19894737.0
954,Jarrett Culver,Min,G-F,21.48,9.2,1.7,23.9,3.4,0.89,0.62,2019-2020,5813640.0
955,Steven Adams,Okc,C,27.07,10.9,2.3,26.7,9.3,0.81,1.06,2019-2020,25842697.0
956,Giannis Antetokounmpo,Mil,F,25.69,29.5,5.6,30.4,13.6,0.98,1.05,2019-2020,25842697.0
957,Bojan Bogdanovic,Uta,F,31.33,20.2,2.1,33.1,4.1,0.54,0.11,2019-2020,17000000.0
958,Lonzo Ball,Nor,G,22.8,11.8,6.9,32.1,6.1,1.41,0.59,2019-2020,8719320.0
959,Chris Boucher,Tor,C-F,27.59,6.6,0.4,13.2,4.5,0.37,1.0,2019-2020,1588231.0
960,Khris Middleton,Mil,F,29.01,20.9,4.3,29.9,6.2,0.85,0.11,2019-2020,30603448.0
961,Danilo Gallinari,Okc,F,32.02,18.7,1.9,29.6,5.2,0.68,0.08,2019-2020,22615559.0
962,Taj Gibson,Nyk,F,35.14,6.1,0.8,16.5,4.3,0.44,0.48,2019-2020,9000000.0
963,Aaron Gordon,Orl,F,24.91,14.4,3.7,32.5,7.7,0.82,0.63,2019-2020,19863636.0
964,Mo Bamba,Orl,C,22.26,5.4,0.7,14.2,4.9,0.37,1.37,2019-2020,5697600.0
965,Domantas Sabonis,Ind,C-F,24.28,18.5,5.0,34.8,12.4,0.73,0.48,2019-2020,3529555.0
966,Brandon Ingram,Nor,F,22.95,23.8,4.2,33.9,6.1,0.98,0.6,2019-2020,7265485.0
967,Josh Okogie,Min,G,21.95,8.6,1.6,25.0,4.3,1.1,0.42,2019-2020,2530680.0
968,Christian Wood,Det,F,24.88,13.1,1.0,21.4,6.3,0.55,0.89,2019-2020,1645357.0
969,Nikola Vucevic,Orl,C,29.81,19.6,3.6,32.2,10.8,0.87,0.76,2019-2020,28000000.0
970,Anthony Davis,Lal,C-F,27.43,26.1,3.2,34.4,9.3,1.47,2.31,2019-2020,27093018.0
971,Myles Turner,Ind,C-F,24.39,12.1,1.2,29.4,6.6,0.74,2.13,2019-2020,18000000.0
972,Garrett Temple,Bro,G-F,34.27,10.3,2.5,27.9,3.5,0.79,0.47,2019-2020,4767000.0
973,Eric Bledsoe,Mil,G,30.68,14.9,5.4,27.0,4.7,0.92,0.43,2019-2020,15625000.0
974,Lonnie Walker IV,San,G-F,21.67,6.4,1.1,16.2,2.3,0.52,0.23,2019-2020,2689920.0
975,Luka Doncic,Dal,G-F,21.46,28.8,8.8,33.6,9.4,0.98,0.23,2019-2020,7683360.0
976,Kyle Kuzma,Lal,F,25.06,12.8,1.3,25.0,4.5,0.46,0.43,2019-2020,1974600.0
977,Darius Bazley,Okc,G-F,20.17,5.6,0.7,18.5,4.0,0.38,0.67,2019-2020,2284800.0
978,Gary Trent Jr.,Por,G-F,21.57,8.9,1.0,21.8,1.6,0.79,0.26,2019-2020,1416852.0
979,Nerlens Noel,Okc,C-F,26.35,7.4,0.9,18.5,4.9,0.97,1.49,2019-2020,1620564.0
980,Mitchell Robinson,Nyk,C-F,22.37,9.7,0.6,23.2,7.0,0.85,1.95,2019-2020,1599712.0
981,Mason Plumlee,Den,C-F,30.45,7.2,2.5,17.3,5.2,0.52,0.61,2019-2020,14041096.0
982,Jrue Holiday,Nor,G,30.18,19.1,6.7,34.7,4.8,1.62,0.8,2019-2020,26231111.0
983,Bogdan Bogdanovic,Sac,G,27.99,15.1,3.4,28.9,3.4,1.07,0.25,2019-2020,8529386.0
984,Marcus Smart,Bos,G,26.44,12.9,4.9,32.0,3.8,1.67,0.48,2019-2020,12553571.0
985,Pascal Siakam,Tor,F,26.37,22.9,3.5,35.2,7.3,1.02,0.88,2019-2020,2351839.0
986,JJ Redick,Nor,G,36.14,15.3,2.0,26.4,2.5,0.33,0.18,2019-2020,13486300.0
987,De'Anthony Melton,Mem,G,22.22,7.6,2.9,19.5,3.7,1.27,0.33,2019-2020,1416852.0
988,Eric Paschall,Gol,F,23.78,14.0,2.1,27.6,4.6,0.53,0.22,2019-2020,898310.0
989,Rondae Hollis-Jefferson,Tor,F,25.61,7.0,1.8,18.7,4.7,0.77,0.38,2019-2020,2500000.0
990,Nicolo Melli,Nor,PF,29.55,6.6,1.4,17.4,3.0,0.57,0.38,2019-2020,4102564.0
991,Vince Carter,Atl,G-F,43.55,5.0,0.8,14.6,2.1,0.38,0.42,2019-2020,1620564.0
992,Thon Maker,Det,C-F,23.47,4.7,0.7,12.9,2.8,0.42,0.65,2019-2020,3569643.0
993,Zach LaVine,Chi,G-F,25.43,25.5,4.2,34.8,4.8,1.45,0.47,2019-2020,19500000.0
994,Trae Young,Atl,G,21.9,29.6,9.3,35.3,4.2,1.08,0.13,2019-2020,6273000.0
995,Derrick Jones Jr.,Mia,F,23.5,8.5,1.1,23.3,3.9,1.0,0.63,2019-2020,1645357.0
996,Tony Snell,Det,G,28.76,8.0,2.2,27.8,1.9,0.54,0.25,2019-2020,11392857.0
997,Goran Dragic,Mia,G,34.28,16.2,5.1,28.2,3.2,0.68,0.17,2019-2020,19217900.0
998,Patrick Patterson,Lac,F,31.42,4.9,0.7,13.2,2.6,0.12,0.05,2019-2020,1620564.0
999,Frank Jackson,Nor,G,22.28,6.3,1.0,13.5,1.4,0.29,0.07,2019-2020,1618520.0
1000,Darius Garland,Cle,G,20.55,12.3,3.9,30.9,1.9,0.69,0.07,2019-2020,6400920.0
1001,Jamal Murray,Den,G,23.47,18.5,4.8,32.3,4.0,1.14,0.29,2019-2020,4444746.0
1002,George Hill,Mil,G,34.28,9.4,3.1,21.5,3.0,0.8,0.08,2019-2020,9133907.0
1003,Marquese Chriss,Gol,F,23.12,9.3,1.9,20.3,6.2,0.66,1.05,2019-2020,654469.0
1004,Bruce Brown,Det,G-F,24.0,8.9,4.0,28.2,4.7,1.09,0.5,2019-2020,1416852.0
1005,Jevon Carter,Pho,G,24.92,4.9,1.4,16.3,2.0,0.78,0.29,2019-2020,1416852.0
1006,Kyle Lowry,Tor,G,34.39,19.4,7.5,36.2,5.0,1.41,0.45,2019-2020,34996296.0
1007,Will Barton,Den,G,29.61,15.1,3.7,33.0,6.3,1.07,0.5,2019-2020,12776786.0
1008,Jimmy Butler,Mia,F,30.92,19.9,6.0,33.8,6.6,1.78,0.55,2019-2020,32742000.0
1009,Tony Bradley,Uta,C-F,22.52,4.9,0.4,11.4,4.6,0.24,0.57,2019-2020,1962360.0
1010,Torrey Craig,Den,F,29.66,5.4,0.8,18.5,3.3,0.4,0.62,2019-2020,2000000.0
1011,Ryan Arcidiacono,Chi,G,26.39,4.5,1.7,16.0,1.9,0.47,0.05,2019-2020,3000000.0
1012,Cam Reddish,Atl,G-F,20.95,10.5,1.5,26.7,3.7,1.07,0.48,2019-2020,4245720.0
1013,Enes Kanter,Bos,C,28.24,8.1,1.0,17.0,7.4,0.4,0.71,2019-2020,4767000.0
1014,Brandon Clarke,Mem,G-F,23.9,12.1,1.4,22.4,5.9,0.57,0.83,2019-2020,2478840.0
1015,Kyle Korver,Mil,G-F,39.41,6.7,1.2,16.6,2.1,0.43,0.21,2019-2020,1620564.0
1016,Carmelo Anthony,Por,F,36.21,15.4,1.5,32.8,6.3,0.84,0.47,2019-2020,1364204.0
1017,Cody Zeller,Cha,C,27.86,11.1,1.5,23.1,7.1,0.69,0.43,2019-2020,14471910.0
1018,Kristaps Porzingis,Dal,C-F,25.04,20.4,1.8,31.8,9.5,0.72,2.02,2019-2020,27285000.0
1019,Tristan Thompson,Cle,C-F,29.43,12.0,2.1,30.2,10.1,0.56,0.88,2019-2020,18539130.0
1020,Kawhi Leonard,Lac,F,29.13,27.1,4.9,32.4,7.1,1.81,0.58,2019-2020,32742000.0
1021,Frank Ntilikina,Nyk,G,22.05,6.3,3.0,20.8,2.1,0.95,0.28,2019-2020,4855800.0
1022,Marco Belinelli,San,G,34.39,6.3,1.2,15.5,1.7,0.21,0.02,2019-2020,5846154.0
1023,Jalen Brunson,Dal,G,23.95,8.2,3.3,17.9,2.4,0.39,0.07,2019-2020,1416852.0
1024,Cameron Johnson,Pho,F,24.45,8.8,1.2,22.0,3.3,0.61,0.35,2019-2020,4033440.0
1025,Russell Westbrook,Hou,G,31.75,27.2,7.0,36.0,7.9,1.65,0.35,2019-2020,38506482.0
1026,Jaylen Brown,Bos,G-F,23.81,20.3,2.1,33.9,6.4,1.16,0.35,2019-2020,6534829.0
1027,D.J. Augustin,Orl,G,32.76,10.5,4.6,24.9,2.1,0.58,0.02,2019-2020,7250000.0
1028,Ben Simmons,Phi,F,24.07,16.4,8.0,35.4,7.8,2.11,0.58,2019-2020,8113930.0
1029,Jaren Jackson Jr.,Mem,C-F,20.92,17.4,1.4,28.5,4.6,0.68,1.61,2019-2020,6927480.0
1030,Jordan Poole,Gol,G,21.16,8.8,2.4,22.3,2.1,0.6,0.18,2019-2020,1964760.0
1031,Bradley Beal,Was,G,27.13,30.6,6.1,36.0,4.2,1.26,0.4,2019-2020,27093019.0
1032,Matthew Dellavedova,Cle,G,29.93,3.1,3.2,14.4,1.3,0.37,0.04,2019-2020,9607500.0
1033,E'Twaun Moore,Nor,G,31.47,8.3,1.4,18.2,2.3,0.57,0.2,2019-2020,8664928.0
1034,Rodney McGruder,Lac,G,29.05,3.3,0.7,15.6,2.7,0.46,0.14,2019-2020,4807693.0
1035,DeAndre Jordan,Bro,C,32.07,8.3,1.9,22.0,10.0,0.32,0.93,2019-2020,9881598.0
1036,Kelly Oubre Jr.,Pho,G-F,24.68,18.7,1.5,34.5,6.5,1.25,0.71,2019-2020,15625000.0
1037,Larry Nance Jr.,Cle,C-F,27.62,10.1,2.2,26.3,7.3,0.98,0.39,2019-2020,12727273.0
1038,Kevin Huerter,Atl,G-F,21.97,12.2,3.8,31.4,4.1,0.91,0.48,2019-2020,2636280.0
1039,Kevin Love,Cle,F,31.94,17.6,3.2,31.8,9.8,0.59,0.34,2019-2020,28942830.0
1040,RJ Barrett,Nyk,G-F,20.17,14.3,2.6,30.4,5.0,0.95,0.3,2019-2020,7839960.0
1041,Kemba Walker,Bos,G,30.27,20.4,4.8,31.1,3.9,0.86,0.5,2019-2020,32742000.0
1042,Gary Harris,Den,G,25.92,10.4,2.1,31.8,2.9,1.36,0.25,2019-2020,17839286.0
1043,Terrance Ferguson,Okc,G,22.25,3.9,0.9,22.5,1.3,0.46,0.3,2019-2020,2475840.0
1044,Bruno Fernando,Atl,C-F,22.0,4.3,0.9,12.7,3.5,0.32,0.3,2019-2020,1400000.0
1045,Josh Richardson,Phi,G,26.92,13.7,2.9,30.8,3.2,0.95,0.65,2019-2020,10116576.0
1046,Elie Okobo,Pho,G-F,22.81,4.0,2.1,13.1,1.6,0.45,0.07,2019-2020,1416852.0
1047,Tyler Herro,Mia,G,20.57,13.5,2.2,27.4,4.1,0.62,0.16,2019-2020,3640200.0
1048,Michael Porter Jr.,Den,F,22.13,9.3,0.8,16.4,4.7,0.49,0.45,2019-2020,3389400.0
1049,Serge Ibaka,Tor,F,30.91,15.4,1.4,27.0,8.2,0.51,0.84,2019-2020,23271604.0
1050,Abdel Nader,Okc,F,26.89,6.3,0.7,15.8,1.8,0.42,0.36,2019-2020,1618520.0
1051,Damian Jones,Atl,C,25.13,5.6,0.6,16.1,3.7,0.47,0.73,2019-2020,2305057.0
1052,Malik Monk,Cha,G,22.53,10.3,2.1,21.3,2.9,0.45,0.29,2019-2020,4028400.0
1053,Malcolm Brogdon,Ind,G,27.67,16.5,7.1,30.9,4.9,0.65,0.19,2019-2020,20000000.0
1054,Emmanuel Mudiay,Uta,G,24.44,7.3,2.1,15.7,2.3,0.44,0.19,2019-2020,1620564.0
1055,Goga Bitadze,Ind,C-F,21.07,3.2,0.4,8.7,1.9,0.19,0.69,2019-2020,2816760.0
1056,Raul Neto,Phi,G,28.24,5.1,1.8,12.4,1.1,0.44,0.11,2019-2020,1620564.0
1057,Fred VanVleet,Tor,G,26.47,17.6,6.6,35.7,3.8,1.8,0.31,2019-2020,9346153.0
1058,Davis Bertans,Was,F,27.75,15.4,1.7,29.3,4.5,0.69,0.61,2019-2020,7000000.0
1059,LaMarcus Aldridge,San,C-F,35.07,18.9,2.4,33.1,7.4,0.68,1.64,2019-2020,26000000.0
1060,Bismack Biyombo,Cha,C,27.96,7.4,0.9,19.4,5.8,0.19,0.92,2019-2020,17000000.0
1061,Mario Hezonja,Por,G-F,25.47,4.8,0.9,16.4,3.5,0.68,0.17,2019-2020,1737145.0
1062,Landry Shamet,Lac,G,23.43,9.3,1.9,27.4,1.9,0.38,0.19,2019-2020,1995120.0
1063,Gordon Hayward,Bos,F,30.4,17.5,4.1,33.5,6.7,0.73,0.42,2019-2020,32700690.0
1064,Norman Powell,Tor,G,27.23,16.0,1.8,28.4,3.6,1.15,0.4,2019-2020,10116576.0
1065,Sterling Brown,Mil,G-F,25.51,5.1,1.0,14.7,3.5,0.56,0.13,2019-2020,1618520.0
1066,Wes Iwundu,Orl,F,25.65,5.8,1.2,18.3,2.5,0.48,0.25,2019-2020,1618420.0
1067,Paul Millsap,Den,F,35.51,11.6,1.6,24.3,5.7,0.86,0.59,2019-2020,30350000.0
1068,Derrick Favors,Nor,F,29.09,9.0,1.6,24.4,9.8,0.59,0.9,2019-2020,17650000.0
1069,Patrick Beverley,Lac,G,32.09,7.9,3.6,26.3,5.2,1.06,0.49,2019-2020,12345680.0
1070,Kris Dunn,Chi,G,26.41,7.3,3.4,24.9,3.7,1.96,0.35,2019-2020,5348007.0
1071,Joel Embiid,Phi,C-F,26.42,23.0,3.0,29.5,11.6,0.86,1.29,2019-2020,27504630.0
1072,De'Aaron Fox,Sac,G,22.65,21.1,6.8,32.0,3.8,1.45,0.49,2019-2020,6392760.0
1073,Meyers Leonard,Mia,C,28.46,6.1,1.1,20.3,5.1,0.27,0.29,2019-2020,11286516.0
1074,Lauri Markkanen,Chi,C-F,23.23,14.7,1.5,29.8,6.3,0.84,0.48,2019-2020,5300400.0
1075,Kevin Porter Jr.,Cle,G-F,20.28,10.0,2.2,23.2,3.2,0.92,0.28,2019-2020,1290960.0
1076,Derrick Rose,Det,G,31.86,18.1,5.6,26.0,2.4,0.8,0.34,2019-2020,7317073.0
1077,Yogi Ferrell,Sac,G,27.27,4.4,1.4,10.6,1.0,0.36,0.08,2019-2020,3150000.0
1078,Maurice Harkless,Lac,G-F,27.26,5.5,1.0,22.8,4.0,0.96,0.6,2019-2020,11011234.0
1079,Damion Lee,Gol,G-F,27.81,12.7,2.7,29.0,4.9,1.02,0.12,2019-2020,842327.0
1080,James Ennis III,Phi,F,30.12,5.8,0.8,15.8,3.1,0.45,0.31,2019-2020,1882867.0
1081,Avery Bradley,Lal,G,29.72,8.6,1.3,24.2,2.3,0.88,0.1,2019-2020,4767000.0
1082,Andre Drummond,Det,C,27.01,17.8,2.8,33.7,15.8,1.98,1.67,2019-2020,27093019.0
1083,Omari Spellman,Gol,F,23.07,7.6,1.0,18.1,4.4,0.67,0.49,2019-2020,1897800.0
1084,Khem Birch,Orl,C,27.88,4.4,1.0,19.2,4.6,0.42,0.48,2019-2020,3000000.0
1085,Damyean Dotson,Nyk,G,26.28,6.7,1.2,17.4,1.9,0.48,0.08,2019-2020,1618520.0
1086,Solomon Hill,Mem,F,29.41,5.7,2.0,18.8,3.0,0.65,0.15,2019-2020,12758781.0
1087,Alec Burks,Gol,G,29.07,16.1,3.1,29.0,4.7,1.02,0.33,2019-2020,1620564.0
1088,Robert Covington,Min,F,29.67,12.8,1.2,29.4,6.0,1.67,0.94,2019-2020,11301219.0
1089,Rajon Rondo,Lal,G,34.48,7.1,5.0,20.5,3.0,0.81,0.04,2019-2020,2564753.0
1090,Rui Hachimura,Was,F,22.52,13.5,1.8,30.1,6.1,0.77,0.17,2019-2020,4469160.0
1091,Paul George,Lac,F,30.29,21.5,3.9,29.6,5.7,1.4,0.42,2019-2020,30560700.0
1092,Javonte Green,Bos,G-F,27.06,3.4,0.5,9.7,1.9,0.5,0.17,2019-2020,898310.0
1093,Nassir Little,Por,G-F,20.51,3.6,0.5,11.9,2.3,0.27,0.31,2019-2020,2105520.0
1094,Cody Martin,Cha,F,24.88,5.0,2.0,18.8,3.3,0.81,0.19,2019-2020,1173310.0
1095,Glenn Robinson III,Gol,F,26.6,12.9,1.8,31.6,4.7,0.94,0.29,2019-2020,1620564.0
1096,Mike Muscala,Okc,C-F,29.12,4.8,0.9,12.2,2.3,0.19,0.26,2019-2020,2028594.0
1097,Rodions Kurucs,Bro,F,22.52,4.6,1.1,14.5,2.9,0.53,0.11,2019-2020,1699236.0
1098,Timothe Luwawu-Cabarrot,Bro,G-F,25.27,7.8,0.6,18.1,2.7,0.38,0.13,2019-2020,654469.0
1099,Nickeil Alexander-Walker,Nor,G,21.95,5.7,1.9,12.6,1.8,0.36,0.17,2019-2020,2964840.0
1100,Mike Conley,Uta,G,32.84,14.4,4.4,29.0,3.2,0.79,0.11,2019-2020,32511624.0
1101,Cheick Diallo,Pho,C-F,23.92,4.7,0.5,10.2,2.8,0.23,0.26,2019-2020,1678854.0
1102,Harry Giles III,Sac,C-F,22.32,6.9,1.3,14.5,4.1,0.48,0.39,2019-2020,2578800.0
1103,Thomas Bryant,Was,C-F,23.04,13.2,1.8,24.9,7.2,0.54,1.07,2019-2020,8000000.0
1104,Gorgui Dieng,Min,C,30.57,7.4,1.3,16.9,5.6,0.8,0.91,2019-2020,16229213.0
1105,Hamidou Diallo,Okc,G,22.04,6.9,0.8,19.5,3.6,0.8,0.2,2019-2020,1416852.0
1106,Jeremy Lamb,Ind,G-F,28.21,12.5,2.1,28.1,4.3,1.17,0.48,2019-2020,10500000.0
1107,Moritz Wagner,Was,C-F,23.3,8.7,1.2,18.6,4.9,0.62,0.42,2019-2020,2063520.0
1108,Michael Carter-Williams,Orl,G,28.85,7.2,2.4,18.5,3.3,1.09,0.49,2019-2020,1620564.0
1109,Ky Bowman,Gol,G,23.16,7.4,2.9,22.6,2.7,1.0,0.22,2019-2020,350189.0
1110,Jared Dudley,Lal,F,35.1,1.5,0.6,8.1,1.2,0.33,0.07,2019-2020,1620564.0
1111,Elfrid Payton,Nyk,G,26.48,10.0,7.2,27.7,4.7,1.58,0.38,2019-2020,8000000.0
1112,Jae Crowder,Mem,F,30.11,9.9,2.8,29.4,6.2,1.04,0.31,2019-2020,7815533.0
1113,Caris LeVert,Bro,G,25.97,18.7,4.4,29.6,4.2,1.18,0.22,2019-2020,2625718.0
1114,Chris Silva,Mia,F,23.9,3.0,0.5,7.9,2.9,0.18,0.48,2019-2020,466918.0
1115,Markieff Morris,Det,F,30.95,11.0,1.6,22.5,3.9,0.59,0.23,2019-2020,1750000.0
1116,Richaun Holmes,Sac,F,26.83,12.3,1.0,28.2,8.1,0.93,1.27,2019-2020,4767000.0
1117,Quinn Cook,Lal,G,27.4,5.1,1.1,11.5,1.2,0.27,0.05,2019-2020,3000000.0
1118,Marc Gasol,Tor,C,35.54,7.5,3.3,26.4,6.2,0.77,0.86,2019-2020,25595700.0
1119,Marko Guduric,Mem,G,25.44,3.9,1.0,11.0,1.7,0.27,0.18,2019-2020,2625000.0
1120,Shaquille Harrison,Chi,G,26.86,4.9,1.1,11.3,2.0,0.81,0.44,2019-2020,1620564.0
1121,Draymond Green,Gol,F,30.45,8.0,6.2,28.4,6.2,1.37,0.77,2019-2020,18539130.0
1122,Kent Bazemore,Por,G-F,31.12,7.9,1.4,25.8,4.0,1.05,0.72,2019-2020,19269662.0
1123,Wendell Carter Jr.,Chi,C-F,21.33,11.3,1.2,29.2,9.4,0.77,0.84,2019-2020,5201400.0
1124,Marcus Morris Sr.,Nyk,F,30.95,19.6,1.4,32.3,5.4,0.77,0.4,2019-2020,15000000.0
1125,Daniel Gafford,Chi,C-F,21.87,5.1,0.5,14.2,2.5,0.3,1.3,2019-2020,898310.0
1126,DeAndre' Bembry,Atl,G-F,26.12,5.8,1.9,21.3,3.5,1.28,0.44,2019-2020,2603982.0
1127,Andrew Wiggins,Min,F,25.47,22.4,3.7,34.7,5.2,0.69,0.86,2019-2020,27504630.0
1128,Jordan Clarkson,Uta,G,28.19,15.6,1.6,24.7,2.8,0.69,0.19,2019-2020,13437500.0
1129,Boban Marjanovic,Dal,C,32.0,6.9,0.5,10.0,4.7,0.19,0.24,2019-2020,3500000.0
1130,Jerome Robinson,Lac,G,23.48,2.9,1.1,11.3,1.4,0.31,0.19,2019-2020,3567720.0
1131,Aron Baynes,Pho,C-F,33.68,11.5,1.6,22.2,5.7,0.21,0.55,2019-2020,5453280.0
1132,Troy Daniels,Lal,G,29.09,4.2,0.3,11.1,1.1,0.2,0.07,2019-2020,384541.0
1133,Thabo Sefolosha,Hou,G-F,36.29,2.2,0.6,10.6,2.3,0.59,0.29,2019-2020,1620564.0
1134,Terance Mann,Lac,G-F,23.82,2.4,1.3,8.8,1.3,0.27,0.12,2019-2020,1000000.0
1135,Marvin Williams,Cha,F,34.16,6.7,1.0,19.7,2.7,0.61,0.56,2019-2020,604278.0
1136,John Collins,Atl,F,22.89,21.6,1.5,33.2,10.1,0.76,1.61,2019-2020,2686560.0
1137,Malik Beasley,Den,G,23.72,7.9,1.2,18.2,1.9,0.76,0.15,2019-2020,2731714.0
1138,Willie Cauley-Stein,Gol,C,26.99,7.9,1.5,22.9,6.2,1.12,1.22,2019-2020,2177483.0
1139,Matt Thomas,Tor,G,26.03,4.9,0.5,10.7,1.5,0.24,0.02,2019-2020,898310.0
1140,Isaiah Thomas,Was,G,31.52,12.2,3.7,23.1,1.7,0.33,0.15,2019-2020,1620564.0
1141,Alfonzo McKinnie,Cle,F,27.91,4.6,0.4,14.8,2.8,0.58,0.2,2019-2020,1500000.0
1142,Shake Milton,Phi,G-F,23.88,9.4,2.6,20.1,2.2,0.48,0.18,2019-2020,1455697.0
1143,Dzanan Musa,Bro,G-F,21.27,4.8,1.1,12.2,2.2,0.38,0.03,2019-2020,1911600.0
1144,Alex Len,Atl,C,27.16,8.7,1.1,18.6,5.8,0.5,0.83,2019-2020,4160000.0
1145,Dwight Powell,Dal,C-F,29.07,9.4,1.5,26.5,5.7,0.88,0.53,2019-2020,10259375.0
